id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
311106,IN-0093,small_airport,Vedanta Lanjigarh Airstrip,197.194.444.444,833.936.111.111,,AS,India,IN,Odisha,IN-OR,OR,,0,,,,,,,50,2014-02-26T05:01:51+00:00
3289,VA1H,small_airport,Ondwa Airport,2.514.150.047.302.240,7.461.150.360.107.420,1450,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VA1H,,VA1H,,,,50,2008-06-13T14:30:04+00:00
3297,VA2A,small_airport,Phalodi Airport,27.112.899.780.273.400,7.238.899.993.896.480,781,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VA2A,,VA2A,,,,50,2008-06-13T14:30:04+00:00
3302,IN-VA38,small_airport,Sirohi Airport,24.895.099.639.892.500,7.284.590.148.925.780,1000,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VA38,,VA38,,,,50,2008-06-13T14:30:04+00:00
3304,IN-VA51,small_airport,Banswara Airport,23.589.259,74.314.048,700,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,,,VA51,,,,50,2022-11-12T16:09:39+00:00
3306,IN-0364,small_airport,Abu Road Airport,244.942,72.781.502,875,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,,,VA74,,,,50,2022-11-13T10:57:03+00:00
3324,VI43,small_airport,Suratgarh New Airport,29.387.800.216.674.800,7.390.390.014.648.430,554,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VI43,,VI43,,,Phalodi Air Force Station,50,2008-06-13T14:30:04+00:00
3329,VI69,small_airport,Jhunjhunu Airport,28.106.700.897.216.700,7.537.560.272.216.790,1110,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VI69,,VI69,,,,50,2008-06-13T14:30:04+00:00
3330,VI70,small_airport,Pilani New Airport,28.348.800.659.179.600,7.559.369.659.423.820,1100,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VI70,,VI70,,,,50,2008-06-13T14:30:04+00:00
3332,VI73,small_airport,Nagaur Airport,2.720.829.963.684.080,737.114.028.930.664,950,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VI73,,VI73,,,,50,2008-06-13T14:30:04+00:00
525296,VIPX,small_airport,Phalodi Air Force Station,27.104.866,72.212.894,,AS,India,IN,Rajasthan,IN-RJ,RJ,,0,VIPX,,,,https://en.wikipedia.org/wiki/Phalodi_Air_Force_Station,,50,2024-04-10T17:50:38+00:00
3344,VO95,small_airport,Hosur Airport,12.661.299.705.505.300,7.776.719.665.527.340,3116,AS,India,IN,Tamil Nadu,IN-TN,TN,,0,VO95,,VO95,,,,50,2008-06-13T14:30:04+00:00
